"city_name","a_ocrrecordid","a_equipmentid","a_hardcode","a_berthid","a_berthcode","a_parkid","a_parkcode","a_platenumber","a_carid","a_lastcarid","a_capturetime","a_type","a_cartype","a_platecolor","a_datasource","a_oprnum","a_entryoprnum","a_lastberthcode","a_lastplatenumber","a_lasttype","a_eventreliability","a_platereliability","a_width","a_height","a_xaxis","a_yaxis","a_pdamanagerid","a_createdtime","a_updatedtime","a_d","a_tag","b_berthcode","b_berthid","b_capturetime","b_carid","b_cartype","b_datasource","b_entryoprnum","b_equipmentid","b_eventreliability","b_hardcode","b_lastplatenumber","b_oprnum","b_parkcode","b_parkid","b_parktype","b_platecolor","b_platenumber","b_platereliability","b_type","b_log_date","c_sepimgurl","c_res_result","c_res_state","c_res_platenumber","c_res_oprnum","c_res_platecolor","c_res_desc","d_chkrecordid","d_ocrrecordid","d_parkid","d_equipid","d_berthid","d_datasource","d_equcarid","d_algcarid","d_chkcarid","d_parkstate","d_reporttime","d_handletype","d_createdtime","d_updatedtime","d_operatorid","d_ts","d_d","d_plate_number","d_correct_plate_number","e_exceptid","e_ocrrecordid","e_parkid","e_equipid","e_berthid","e_equcarid","e_manualcarid","e_parkstate","e_datasource","e_reporttime","e_handletype","e_createdtime","e_operatorid","e_updatedtime","e_d","e_plate_number","f_patrolid","f_ocrrecordid","f_parkrecordid","f_oprnum","f_parkid","f_equipid","f_berthid","f_carid","f_platenumber","f_platecolor","f_cartype","f_reporttime","f_parkstate","f_createdtime","f_operatorid","f_updatedtime","g_parkrecordid","g_recordcode","g_recordstate","g_d","g_ocrrecordid","g_datasource","g_in_out_time","g_parkid","g_berthid","g_carid","g_platenumber","g_cartype","g_carcolor","g_illegal","g_createdtime","g_operationid","g_updatedtime","g_parktype","g_areaid","g_parentparkid","g_tag","g_mq_time","etl_time","a_datasource_detail","b_datasource_detail","c_blueeventreliability","c_res_type","c_res_change","c_res_berthnumber","d_oldberthid","d_platecolor","d_manualcolor","d_platecartype","d_manualcartype","d_oprnum","e_oldberthid","e_platecolor","e_manualcolor","e_platecartype","e_manualcartype","e_manualnumber","f_patrolrecordtype","pt"
"beijing","1646932170883554748","1622357605575822948","HW201801111715010301","1622355809687047681","XJCE00003","1622355783759970754","PA20180111171501","京P8NN23","1966455762423598848","1966455762423598848","2019-10-10 00:01:25","0","0","0","12","be35754d-ae6e-9bcb-1666-d0965e159455","513e9264-1fd0-0412-d228-9261e5249826","XJCE00003","京P8NN23","0","97","100","0","0","0","0","0","2019-10-10 00:01:52","2019-10-10 00:01:52","\N","add","XJCE00003","1622355809687047681","2019-10-10 00:01:25","1966455762423598848","0","12","513e9264-1fd0-0412-d228-9261e5249826","1622357605575822948","97","HW201801111715010301","京P8NN23","be35754d-ae6e-9bcb-1666-d0965e159455","PA20180111171501","1622355783759970754","1","0","京P8NN23","0","0","2019-10-10 00:01:51","http://bj-business-image.oss-cn-beijing-internal.aliyuncs.com/busy/20191010/cd4a46c8f5323c2e0df018df6471b603.jpg","1","0","京P8NN23","be35754d-ae6e-9bcb-1666-d0965e159455","0","success","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","1646930749074084287","b3320650d7404c2c92d735a67d53263c","0","\N","1646932170883554748","12","2019-10-10 00:01:25","1622355783759970754","1622355809687047681","1966455762423598848","京P8NN23","0","\N","\N","2019-10-09 23:39:16","1593521378449416192","2019-10-10 00:01:52","1","281479271743488","1622355143000342977","update","2019-10-10 00:01:52","2019-10-11 01:34:20","23","23","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","20191010"
"beijing","1646932379102422940","1637213906561319902","HW201906241710010201","1637213662460167107","E008D0080005","1637212613080912902","PA20190624171001","京EFD181","1966406384824667648","1966406384824667648","2019-10-10 00:00:05","0","0","0","11","01a12ea0-eaae-11e9-85f6-00044bdde257","","E008D0080005","京EFD181","0","51","100","0","0","0","0","0","2019-10-10 00:05:10","2019-10-10 00:05:10","\N","update","E008D0080005","1637213662460167107","2019-10-10 00:00:05","1966406384824667648","0","11","","1637213906561319902","51","HW201906241710010201","京EFD181","01a12ea0-eaae-11e9-85f6-00044bdde257","PA20190624171001","1637212613080912902","1","0","京EFD181","0","0","2019-10-10 00:05:09","http://bj-business-image.oss-cn-beijing-internal.aliyuncs.com/busy/20191010/658021ced871ce596671ef815d5b5b4b.jpg","1","0","京EFD181","01a12ea0-eaae-11e9-85f6-00044bdde257","0","success","1646932379147546327","1646932379102422940","1637212613080912902","1637213906561319902","1637213662460167107","11","1966406384824667648","1966406384824667648","1966406384824667648","0","2019-10-10 00:00:05","1","2019-10-10 00:05:11","2019-10-10 00:13:00","1642066442940383324","2019-10-10 00:13:00","","京EFD181","京EFD181","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","1646930580840547351","87ce4920fdc44e6d96ecde98c587f07f","0","\N","1646932379102422940","11","2019-10-10 00:00:05","1637212613080912902","1637213662460167107","1966406384824667648","京EFD181","0","\N","\N","2019-10-09 23:36:36","1593521378449416192","2019-10-10 00:13:00","1","281479272005632","1637212527049446404","update","2019-10-10 00:13:00","2019-10-11 01:34:20","12","12","50","0","1","E008D0080005","1637213662460167107","0","0","0","0","01a12ea0-eaae-11e9-85f6-00044bdde257","\N","\N","\N","\N","\N","\N","\N","20191010"
"beijing","1646932380221253533","1623540604273306013","HW201901201451030204","1623540488820894095","DXZP00058","1623540261577326760","PA20190120145103","京LM1119","1966437418110751232","1966437418110751232","2019-10-10 00:03:36","0","0","0","9","a92a95f4-94c0-4624-b8b2-da8116018621","\N","DXZP00058","京LM1119","0","0","0","0","0","0","0","0","2019-10-10 00:05:11","2019-10-10 00:05:11","\N","add","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","1646932380256943796","1646932380221253533","1646931899545457192","a92a95f4-94c0-4624-b8b2-da8116018621","1623540261577326760","1623540604273306013","1623540488820894095","1966437418110751232","京LM1119","0","0","2019-10-10 00:03:36","0","2019-10-10 00:05:11","1640798569580277819","\N","1646931899545457192","9901c280456e401291f9ec2dccff701a","0","\N","1646932380221253533","9","2019-10-10 00:03:36","1623540261577326760","1623540488820894095","1966437418110751232","京LM1119","0","\N","\N","2019-10-09 23:57:33","1593521378449416192","2019-10-10 00:05:11","1","281479271809024","1623161978985923378","update","2019-10-10 00:05:11","2019-10-11 01:34:20","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","0","20191010"
"beijing","1646932382501920276","1636189736712979136","HW201906131007010402","1636189556759511729","E010D0030004","1636189526596129388","PA20190613100701","贵UW3182","1978299293685567104","1966459752477675136","2019-10-10 00:04:44","0","0","0","12","a39b4582-44e7-d5ee-f283-6990fff4c941","bd322d19-4645-e9e3-e6ca-8926083d7e6a","E010D0030004","京QW3182","0","57","0","0","0","0","0","0","2019-10-10 00:05:14","2019-10-10 00:05:14","\N","update","E010D0030004","1636189556759511729","2019-10-10 00:04:44","1978299293685567104","0","12","bd322d19-4645-e9e3-e6ca-8926083d7e6a","1636189736712979136","57","HW201906131007010402","贵UW3182","a39b4582-44e7-d5ee-f283-6990fff4c941","PA20190613100701","1636189526596129388","1","0","贵UW3182","0","0","2019-10-10 00:05:13","http://bj-business-image.oss-cn-beijing-internal.aliyuncs.com/busy/20191010/79e20f464096c326dd8c8086209c4004.jpg","0","0","贵UW3182","a39b4582-44e7-d5ee-f283-6990fff4c941","0","success","1646932382543896330","1646932382501920276","1636189526596129388","1636189736712979136","1636189556759511729","12","1978299293685567104","1978299293685567104","1966459752477675136","0","2019-10-10 00:04:44","1","2019-10-10 00:05:14","2019-10-10 00:12:57","1634321216818708483","2019-10-10 00:12:57","","贵UW3182","京QW3182","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","1646922124164238751","b75f22afaf624d8db3a0545cb9473a16","0","\N","1646932382501920276","12","2019-10-10 00:04:44","1636189526596129388","1636189556759511729","1966459752477675136","京QW3182","0","\N","\N","2019-10-09 21:22:11","1593521378449416192","2019-10-10 00:12:57","1","281479272005632","1636189330849010283","update","2019-10-10 00:12:57","2019-10-11 01:34:20","22","22","60","0","1","E010D0030004","1636189556759511729","0","0","0","0","a39b4582-44e7-d5ee-f283-6990fff4c941","\N","\N","\N","\N","\N","\N","\N","20191010"
"beijing","1646932388481935265","1636555689042822559","HW201906170938020205","1636554526699472102","E008D0060082","1636554471117558500","PA20190617093802","京N0N1C1","1966446691481603584","1966446691481603584","2019-10-10 00:00:18","1","0","0","11","f1c85a80-eaad-11e9-ab3b-00044bc6fbb9","","E008D0060082","京N0N1C1","1","89","100","0","0","0","0","0","2019-10-10 00:05:19","2019-10-10 00:05:19","\N","add","E008D0060082","1636554526699472102","2019-10-10 00:00:18","1966446691481603584","0","11","","1636555689042822559","89","HW201906170938020205","京N0N1C1","f1c85a80-eaad-11e9-ab3b-00044bc6fbb9","PA20190617093802","1636554471117558500","1","0","京N0N1C1","0","1","2019-10-10 00:05:19","http://bj-business-image.oss-cn-beijing-internal.aliyuncs.com/busy/20191010/8034d44c06896d302f88e798ccaf3b37.jpg","1","0","京N0N1C1","f1c85a80-eaad-11e9-ab3b-00044bc6fbb9","0","success","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","1646932388495586748","f35997e49ad74c13acd6bb9896746cd0","0","\N","1646932388481935265","11","2019-10-10 00:00:18","1636554471117558500","1636554526699472102","1966446691481603584","京N0N1C1","0","\N","\N","2019-10-10 00:05:20","1593521378449416192","2019-10-10 03:11:40","1","281479272005632","1636549898294399694","update","2019-10-10 03:11:40","2019-10-11 01:34:20","11","11","0","1","0","E008D0060082","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","20191010"
"beijing","1646932405531794972","1636113506442593338","HW201906121015040201","1636113469902865463","D012D0020077","1636113304488907236","PA20190612101504","京G67618","1966416116694061440","1966416116694061440","2019-10-10 00:05:15","0","0","0","11","a004cca0-eaae-11e9-bd6c-00044bc6aa23","edeab85a-eaac-11e9-a625-00044bc6aa23","D012D0020077","京G67618","0","100","100","0","0","0","0","0","2019-10-10 00:05:36","2019-10-10 00:05:36","\N","add","D012D0020077","1636113469902865463","2019-10-10 00:05:15","1966416116694061440","0","11","edeab85a-eaac-11e9-a625-00044bc6aa23","1636113506442593338","100","HW201906121015040201","京G67618","a004cca0-eaae-11e9-bd6c-00044bc6aa23","PA20190612101504","1636113304488907236","1","0","京G67618","0","0","2019-10-10 00:05:35","http://bj-business-image.oss-cn-beijing-internal.aliyuncs.com/busy/20191010/72f47e2877ba12c0656b60f8c503289d.jpg","1","0","京G67618","a004cca0-eaae-11e9-bd6c-00044bc6aa23","0","success","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","1646931642523928900","50f466db895346bba93b9c0acc84e6d8","0","\N","1646932405531794972","11","2019-10-10 00:05:15","1636113304488907236","1636113469902865463","1966416116694061440","京G67618","0","\N","\N","2019-10-09 23:53:28","1593521378449416192","2019-10-10 00:05:36","1","281479271940096","1636099339238117837","update","2019-10-10 00:05:36","2019-10-11 01:34:20","11","11","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","20191010"
"beijing","1646932406266846749","1622899606768583528","HW201901171716010301","1622899595956716382","DXZD00005","1622898599432045284","PA20190117171601","京Q03E83","1966459889868394240","1966459889868394240","2019-10-10 00:00:33","1","0","0","12","3dc3fdfa-59f7-9bb5-ce30-c8b873a6b878","","DXZD00005","京Q03E83","1","100","100","0","0","0","0","0","2019-10-10 00:05:36","2019-10-10 00:05:36","\N","add","DXZD00005","1622899595956716382","2019-10-10 00:00:33","1966459889868394240","0","12","","1622899606768583528","100","HW201901171716010301","京Q03E83","3dc3fdfa-59f7-9bb5-ce30-c8b873a6b878","PA20190117171601","1622898599432045284","1","0","京Q03E83","0","1","2019-10-10 00:05:36","http://bj-business-image.oss-cn-beijing-internal.aliyuncs.com/busy/20191010/ffea94b3d957bdbafa5a5bc26d3d6fd6.jpg","1","0","京Q03E83","3dc3fdfa-59f7-9bb5-ce30-c8b873a6b878","0","success","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","1646932406278387134","b38a040635554f15b7bd2dfaf4b6a25b","0","\N","1646932406266846749","12","2019-10-10 00:00:33","1622898599432045284","1622899595956716382","1966459889868394240","京Q03E83","0","\N","\N","2019-10-10 00:05:37","1593521378449416192","2019-10-10 01:10:07","1","281479271809024","1622898532700668643","update","2019-10-10 01:10:07","2019-10-11 01:34:20","23","23","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","20191010"
"beijing","1646932427585431477","1636666707906579878","HW201906181609020301","1636666649007017354","D005D0010033","1636666625972899947","PA20190618160902","京GJE383","1966415318629273344","1966415318629273344","2019-10-10 00:00:53","1","0","0","12","ea453315-a5d5-35f4-e700-be1dcbe708b3","","D005D0010033","京GJE383","1","100","100","0","0","0","0","0","2019-10-10 00:05:57","2019-10-10 00:05:57","\N","add","D005D0010033","1636666649007017354","2019-10-10 00:00:53","1966415318629273344","0","12","","1636666707906579878","100","HW201906181609020301","京GJE383","ea453315-a5d5-35f4-e700-be1dcbe708b3","PA20190618160902","1636666625972899947","1","0","京GJE383","0","1","2019-10-10 00:05:56","http://bj-business-image.oss-cn-beijing-internal.aliyuncs.com/busy/20191010/8b8224657336b20ecc63d64144c93053.jpg","1","0","京GJE383","ea453315-a5d5-35f4-e700-be1dcbe708b3","0","success","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","1646932427597841649","b9c82c02cbfb479aa97e2606d398ad5c","0","\N","1646932427585431477","12","2019-10-10 00:00:53","1636666625972899947","1636666649007017354","1966415318629273344","京GJE383","0","\N","\N","2019-10-10 00:05:57","1593521378449416192","2019-10-10 00:19:44","1","281479271940096","1636665261975801953","update","2019-10-10 00:19:44","2019-10-11 01:34:20","21","21","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","20191010"
"beijing","1646932430189045688","1637192163864005642","HW201906131115050202","1637192063523671009","E004D0030081","1637191739657294611","PA20190613111505","京AKU257","1966388969002766592","1966388969002766592","2019-10-10 00:00:56","1","0","0","11","1bc38436-eaae-11e9-8e60-00044bdde512","","E004D0030081","京AKU257","1","100","100","0","0","0","0","0","2019-10-10 00:05:59","2019-10-10 00:05:59","\N","add","E004D0030081","1637192063523671009","2019-10-10 00:00:56","1966388969002766592","0","11","","1637192163864005642","85","HW201906131115050202","京AKU257","1bc38436-eaae-11e9-8e60-00044bdde512","PA20190613111505","1637191739657294611","1","0","京AKU257","0","1","2019-10-10 00:05:59","http://bj-business-image.oss-cn-beijing-internal.aliyuncs.com/busy/20191010/9199431bafc956d573a71b56eba5f408.jpg","1","0","京AKU257","1bc38436-eaae-11e9-8e60-00044bdde512","0","success","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","1646932430201455858","96030aeb229141f7a2964cb8eab8bfa7","0","\N","1646932430189045688","11","2019-10-10 00:00:56","1637191739657294611","1637192063523671009","1966388969002766592","京AKU257","0","\N","\N","2019-10-10 00:06:00","1593521378449416192","2019-10-10 00:15:18","1","281479272005632","1636193657616470683","update","2019-10-10 00:15:18","2019-10-11 01:34:20","11","11","100","1","1","E004D0030081","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","20191010"
"beijing","1646932445836959274","1621155236681877015","HW201812291122010201","1621155076266526184","XCSH00004","1621155057548410966","PA20181229112201","京AD45475","2110503919251083552","2110503913882374432","2019-10-10 00:01:12","0","0","2","11","50384eb8-eaae-11e9-af30-00044ba54a67","6669c240-eaac-11e9-af30-00044ba54a67","XCSH00004","京ADK5475","0","80","0","0","0","0","0","0","2019-10-10 00:06:14","2019-10-10 00:06:14","\N","update","XCSH00004","1621155076266526184","2019-10-10 00:01:12","2110503919251083552","0","11","6669c240-eaac-11e9-af30-00044ba54a67","1621155236681877015","80","HW201812291122010201","京AD45475","50384eb8-eaae-11e9-af30-00044ba54a67","PA20181229112201","1621155057548410966","1","2","京AD45475","0","0","2019-10-10 00:06:13","http://bj-business-image.oss-cn-beijing-internal.aliyuncs.com/busy/20191010/53a494c58d341f559367d466a8da2de4.jpg","0","0","京ADK5475","50384eb8-eaae-11e9-af30-00044ba54a67","2","success","1646932445860048608","1646932445836959274","1621155057548410966","1621155236681877015","1621155076266526184","11","2110503919251083552","2110503913882374432","2110503913882374432","0","2019-10-10 00:01:12","1","2019-10-10 00:06:14","2019-10-10 00:14:04","1642066442940383324","2019-10-10 00:14:04","","京AD45475","京ADK5475","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","1646931915474553175","ce1853e270f04858afc5e88cc1b40b39","0","\N","1646932445836959274","11","2019-10-10 00:01:12","1621155057548410966","1621155076266526184","2110503913882374432","京ADK5475","0","\N","\N","2019-10-09 23:57:49","1593521378449416192","2019-10-10 00:14:04","1","281479271743488","1621154995146604629","update","2019-10-10 00:14:05","2019-10-11 01:34:20","11","11","50","0","1","XCSH00004","1621155076266526184","2","2","0","0","50384eb8-eaae-11e9-af30-00044ba54a67","\N","\N","\N","\N","\N","\N","\N","20191010"
