"mt","cnt"
"20191129170000",10770
"20191129173000",11786
"20191129180000",9647
"20191129183000",10257
"20191129190000",8362
"20191129193000",7819
"20191129200000",8911
"20191129203000",8734
"20191129210000",7652
"20191129213000",7139
"20191129220000",6414
"20191129223000",5203
"20191129230000",4286
"20191129233000",3446
"20191130000000",2939
"20191130003000",2318
"20191130010000",1985
"20191130013000",1806
"20191130020000",1692
"20191130023000",1491
"20191130030000",1167
"20191130033000",1127
"20191130040000",1118
"20191130043000",1091
"20191130050000",1127
"20191130053000",1261
"20191130060000",1675
"20191130063000",2587
"20191130070000",3661
"20191130073000",4781
"20191130080000",5729
"20191130083000",6517
"20191130090000",7744
"20191130093000",9058
"20191130100000",9847
"20191130103000",10216
"20191130110000",10561
"20191130113000",10880
"20191130120000",11150
"20191130123000",10757
"20191130130000",10955
"20191130133000",11528
"20191130140000",11736
"20191130143000",10311
"20191130150000",10596
"20191130153000",10700
"20191130160000",11056
"20191130163000",10792
"20191130170000",10877
"20191130173000",10497
"20191130180000",9949
"20191130183000",9350
"20191130190000",9068
"20191130193000",8701
"20191130200000",8913
"20191130203000",8552
"20191130210000",6824
"20191130213000",6643
"20191130220000",5359
"20191130223000",4818
"20191130230000",3684
"20191130233000",3179
"20191201000000",2804
"20191201003000",2280
"20191201010000",2016
"20191201013000",1883
"20191201020000",1705
"20191201023000",1424
"20191201030000",1234
"20191201033000",1065
"20191201040000",1020
"20191201043000",1036
"20191201050000",861
"20191201053000",1319
"20191201060000",1623
"20191201063000",2158
"20191201070000",3283
"20191201073000",4497
"20191201080000",6652
"20191201083000",8187
"20191201090000",10081
"20191201093000",10938
"20191201100000",12277
"20191201103000",12648
"20191201110000",12870
"20191201113000",12480
"20191201120000",12391
"20191201123000",11610
"20191201130000",10485
"20191201133000",11067
"20191201140000",11243
"20191201143000",11261
"20191201150000",11752
"20191201153000",12033
"20191201160000",11920
"20191201163000",11693
"20191201170000",11893
"20191201173000",11679
"20191201180000",11238
"20191201183000",10631
"20191201190000",8599
"20191201193000",8383
"20191201200000",8338
"20191201203000",8649
"20191201210000",7228
"20191201213000",6524
"20191201220000",5530
"20191201223000",4507
"20191201230000",3558
"20191201233000",2798
"20191202000000",2219
"20191202003000",1803
"20191202010000",1828
"20191202013000",1520
"20191202020000",1415
"20191202023000",1177
"20191202030000",1063
"20191202033000",1043
"20191202040000",783
"20191202043000",913
"20191202050000",1020
"20191202053000",1391
"20191202060000",2810
"20191202063000",5145
"20191202070000",8142
"20191202073000",11857
"20191202080000",11305
"20191202083000",10947
"20191202090000",10421
"20191202093000",13411
"20191202100000",12157
"20191202103000",13714
"20191202110000",12603
"20191202113000",12424
"20191202120000",12211
"20191202123000",11820
"20191202130000",12324
"20191202133000",12820
"20191202140000",13185
"20191202143000",14125
"20191202150000",14300
"20191202153000",14648
"20191202160000",12665
"20191202163000",15126
"20191202170000",13573
"20191202173000",13145
"20191202180000",12021
"20191202183000",12393
"20191202190000",10271
"20191202193000",9279
"20191202200000",9776
"20191202203000",9326
"20191202210000",8182
"20191202213000",6873
"20191202220000",5860
"20191202223000",5066
"20191202230000",4128
"20191202233000",3313
"20191203000000",2793
"20191203003000",2195
"20191203010000",1812
"20191203013000",1486
"20191203020000",1349
"20191203023000",1145
"20191203030000",1069
"20191203033000",977
"20191203040000",961
"20191203043000",1042
"20191203050000",1185
"20191203053000",1604
"20191203060000",2890
"20191203063000",5715
"20191203070000",7747
"20191203073000",12695
"20191203080000",11035
"20191203083000",12692
"20191203090000",12807
