"parkrecordid","recordcode","recordstate","d","entryid","exitid","entrydatasource","exitdatasource","entrytime","exittime","parkid","berthid","carid","platenumber","cartype","carcolor","shouldpay","actualpay","agiopay","illegal","createdtime","operationid","updatedtime","parktype","areaid","parentparkid","tag","mq_time","etl_time","production_time","state","dt"
"1643671896625679908","4711d27d31864ac8835eb77b034fe60b","0","\N","1643670295581368998","1646941905145897816","11","11","2019-09-03 23:50:44","2019-10-10 02:31:34","1620810341778735108","1620810593634093391","1968666809750490624","冀GAG731","0","\N","0","0","0","\N","2019-09-04 00:21:12","1593521378449416192","2019-10-10 02:36:35","1","281479271743488","1620806943859818498","update","1570646195639","2019-10-11 00:56:51","1570646195621","1","20191010"
"1645368878691078064","cbd8685d8d54422e817bdff1253f1a61","0","\N","1645368878676388083","1646953957827629126","11","11","2019-09-22 17:48:55","2019-10-10 05:43:07","1636131516218741318","1636738810451247331","1966459230920151552","京QHG779","0","\N","0","0","0","\N","2019-09-22 17:54:01","1593521378449416192","2019-10-10 05:53:50","1","281479272005632","1636128449978044980","update","1570658030673","2019-10-11 00:56:51","1570658030663","1","20191010"
"1645633873666283043","44110bae5e9f4779a357b179bd9700e5","0","\N","1645633873657024890","1646990234347198500","11","11","2019-09-25 16:00:58","2019-10-10 15:19:44","1637298046923052499","1637298185129609147","1966437003113828608","京LAR377","0","\N","0","0","0","\N","2019-09-25 16:06:00","1593521378449416192","2019-10-10 15:24:45","1","281479272005632","1637291840635540865","update","1570692285915","2019-10-11 00:56:51","1570692285908","1","20191010"
"1645638796805050348","0e92f4be62fd4260ad84d32ea1cd1977","0","\N","1645637928631491012","1646967085156083430","11","9","2019-09-25 17:04:58","2019-10-10 09:05:38","1619821003184029744","1621627467912286975","1966446863234682368","京N5NF81","0","\N","0","0","0","\N","2019-09-25 17:24:15","1593521378449416192","2019-10-10 09:16:49","1","281479272136704","1619641467715731732","update","1570670209145","2019-10-11 00:56:51","1570670209128","1","20191010"
"1645711550514366149","1d12aa1a12394dd8a072a55d3d7e46c9","0","\N","1645711550503004861","1646965301870143811","11","11","2019-09-26 12:35:36","2019-10-10 08:43:26","1636125944146694671","1636125996219023483","1966446454201946624","京NTZ979","0","\N","0","0","0","\N","2019-09-26 12:40:38","1593521378449416192","2019-10-10 08:48:28","1","281479272005632","1636123224909156849","update","1570668508460","2019-10-11 00:56:51","1570668508453","1","20191010"
"1645719097820485776","e4fe154573f9499d83a34ddae3044b25","0","\N","1645719097816473024","1646960449209325738","9","12","2019-09-26 13:49:03","2019-10-10 07:29:19","1636131516218741318","1636738775629086931","1966428309561069184","京JDP282","0","\N","0","0","0","\N","2019-09-26 14:40:36","1593521378449416192","2019-10-10 07:31:20","1","281479272005632","1636128449978044980","update","1570663880609","2019-10-11 00:56:51","1570663880598","1","20191010"
"1645776419459598145","ef8b4c2598a44a4b98e72f840ca6ee57","0","\N","1645776419449295458","1647009068600876027","11","11","2019-09-27 05:46:39","2019-10-10 20:19:05","1622078786553806866","1622078913176758403","1972590663153717632","皖CX1938","0","\N","0","0","0","\N","2019-09-27 05:51:42","1593521378449416192","2019-10-10 20:24:07","1","281479271743488","1621185167084241032","update","1570710247673","2019-10-11 00:56:51","1570710247662","1","20191010"
"1645878551383808561","b6851c503bc9409da4804b4d250066a2","0","\N","1645878551374552565","1647021335548613368","11","9","2019-09-28 08:49:57","2019-10-10 22:27:50","1637216285738276002","1637216301759514324","1966455724605705728","京P7A251","0","\N","0","0","0","\N","2019-09-28 08:55:02","1593521378449416192","2019-10-10 23:39:06","1","281479272005632","1637216137219019929","update","1570721946354","2019-10-11 00:56:51","1570721946340","1","20191010"
"1645973523378373806","8179f85653584f058a24868ed97f04a5","0","\N","1645973523363877453","1646983568703707148","11","11","2019-09-29 09:59:33","2019-10-10 13:33:47","1622620813998965419","1622621325621201295","1966446660588867840","京NZ0Q17","0","\N","0","0","0","\N","2019-09-29 10:04:35","1593521378449416192","2019-10-10 13:38:49","1","281479271743488","1622619016330756768","update","1570685929064","2019-10-11 00:56:51","1570685929060","1","20191010"
"1645994864727129403","a08aacbf43ee4937b04c43f679766b5d","0","\N","1645994864712441807","1646970856806361236","11","11","2019-09-29 15:38:42","2019-10-10 10:11:42","1621239532855771319","1622059527343794043","1966446385207660928","京NRY628","0","\N","0","0","0","\N","2019-09-29 15:43:47","1593521378449416192","2019-10-10 10:16:46","1","281479271809024","1621239431020167350","update","1570673806078","2019-10-11 00:56:51","1570673806060","1","20191010"
